"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-03-02","4.5",",,W",,,"4.6",",,W,2400","51.0",",,W",,,"0.6","H,,S","1.1",",,W","0.0",",,W","   10",",,W","   10",",,W","9.4",",,W","11.2",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-03-03","3.8",",,W",,,"2.3",",,W,2400","18.0",",,W",,,"1.8","H,,S","5.0",",,W","0.0",",,W","  110",",,W","  120",",,W","7.2",",,W","8.1",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-03-04","5.9",",,W",,,"24.6",",,W,2400","251.0",",,W",,,"2.1","H,,S","4.4",",,W","-3.8",",,W","  270",",,W","  290",",,W","10.7",",,W","13.9",",,W","    1",",,W","    1",",,W",,,,,,,,,"    1",",,W",,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-03-05","4.7",",,W",,,"0.0",",,W,2400","0.0",",,W",,,"-3.2","H,,S","-0.5",",,W","-7.1",",,W","  290",",,W","  290",",,W","9.4",",,W","11.6",",,W",,,,,,,,,,,,,"    1",",,W",,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-03-06","7.2",",,W",,,"0.0",",,W,2400","0.0",",,W",,,"-4.7","H,,S","-2.7",",,W","-7.7",",,W","  310",",,W","  300",",,W","12.5",",,W","16.5",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-03-07","6.2",",,W",,,"0.0",",,W,2400","0.0",",,W",,,"-6.0","H,,S","-1.0",",,W","-9.3",",,W","  270",",,W","  230",",,W","9.8",",,W","13.9",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-03-08","4.9",",,W",,,"0.0",",,W,2400","0.0",",,W",,,"-2.9","H,,S","3.3",",,W","-7.7",",,W","  240",",,W","  260",",,W","7.6",",,W","11.2",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-03-09","3.1",",,W",,,"0.0",",,W,2400","0.0",",,W",,,"0.9","H,,S","7.8",",,W","-3.2",",,W","   90",",,W","  290",",,W","6.7",",,W","8.1",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-03-10","5.7",",,W",,,"11.7",",,W,2400","23.0",",,W",,,"1.7","H,,S","4.4",",,W","-0.5",",,W","  120",",,W","  130",",,W","11.2",",,W","13.4",",,W","    1",",,W","    1",",,W",,,"    1",",,W",,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-03-11","6.5",",,W",,,"0.0",",,W,2400","0.0",",,W",,,"5.9","H,,S","10.0",",,W","2.8",",,W","  260",",,W","  300",",,W","11.2",",,W","14.3",",,W",,,,,,,,,,,,,,,,
